2024/07/01,9061.94,3598.18,5463.76,1552288.62
2024/08/01,9061.94,3610.82,5451.12,1548677.80
2024/09/01,9061.94,3623.50,5438.44,1545054.30
2024/10/01,9061.94,3636.22,5425.72,1541418.08
2024/11/01,9061.94,3649.00,5412.94,1537769.08
2024/12/01,9061.94,3661.80,5400.14,1534107.28
2025/01/01,9061.94,3674.67,5387.27,1530432.61
2025/02/01,9061.94,3687.57,5374.37,1526745.04
2025/03/01,9061.94,3700.52,5361.42,1523044.52
2025/04/01,9061.94,3713.52,5348.42,1519331.00
2025/05/01,9061.94,3726.55,5335.39,1515604.45
2025/06/01,9061.94,3739.65,5322.29,1511864.80
2025/07/01,9061.94,3752.77,5309.17,1508112.03
2025/08/01,9061.94,3765.95,5295.99,1504346.08
2025/09/01,9061.94,3779.18,5282.76,1500566.90
2025/10/01,9061.94,3792.45,5269.49,1496774.45
2025/11/01,9061.94,3805.77,5256.17,1492968.68
2025/12/01,9061.94,3819.13,5242.81,1489149.55
2026/01/01,9061.94,3832.54,5229.40,1485317.01
2026/02/01,9061.94,3846.00,5215.94,1481471.01
2026/03/01,9061.94,3859.51,5202.43,1477611.50
2026/04/01,9061.94,3873.06,5188.88,1473738.44
2026/05/01,9061.94,3886.67,5175.27,1469851.77
2026/06/01,9061.94,3900.31,5161.63,1465951.46
2026/07/01,9061.94,3914.00,5147.94,1462037.46
2026/08/01,9061.94,3927.75,5134.19,1458109.71
2026/09/01,9061.94,3941.55,5120.39,1454168.16
2026/10/01,9061.94,3955.39,5106.55,1450212.77
2026/11/01,9061.94,3969.27,5092.67,1446243.50
2026/12/01,9061.94,3983.22,5078.72,1442260.28
2027/01/01,9061.94,3997.20,5064.74,1438263.08
2027/02/01,9061.94,4011.24,5050.70,1434251.84
2027/03/01,9061.94,4025.32,5036.62,1430226.52
2027/04/01,9061.94,4039.47,5022.47,1426187.05
2027/05/01,9061.94,4053.64,5008.30,1422133.41
2027/06/01,9061.94,4067.88,4994.06,1418065.53
2027/07/01,9061.94,4082.17,4979.77,1413983.36
2027/08/01,9061.94,4096.50,4965.44,1409886.86
2027/09/01,9061.94,4110.89,4951.05,1405775.97
2027/10/01,9061.94,4125.32,4936.62,1401650.65
2027/11/01,9061.94,4139.81,4922.13,1397510.84
2027/12/01,9061.94,4154.35,4907.59,1393356.49
2028/01/01,9061.94,4168.94,4893.00,1389187.55
2028/02/01,9061.94,4183.57,4878.37,1385003.98
2028/03/01,9061.94,4198.27,4863.67,1380805.71
2028/04/01,9061.94,4213.01,4848.93,1376592.70
2028/05/01,9061.94,4227.81,4834.13,1372364.89
2028/06/01,9061.94,4242.65,4819.29,1368122.24
2028/07/01,9061.94,4257.55,4804.39,1363864.69
2028/08/01,9061.94,4272.50,4789.44,1359592.19
2028/09/01,9061.94,4287.51,4774.43,1355304.68
2028/10/01,9061.94,4302.56,4759.38,1351002.12
2028/11/01,9061.94,4317.67,4744.27,1346684.45
2028/12/01,9061.94,4332.83,4729.11,1342351.62
2029/01/01,9061.94,4348.05,4713.89,1338003.57
2029/02/01,9061.94,4363.32,4698.62,1333640.25
2029/03/01,9061.94,4378.64,4683.30,1329261.61
2029/04/01,9061.94,4394.01,4667.93,1324867.60
2029/05/01,9061.94,4409.45,4652.49,1320458.15
2029/06/01,9061.94,4424.93,4637.01,1316033.22
2029/07/01,9061.94,4440.47,4621.47,1311592.75
2029/08/01,9061.94,4456.07,4605.87,1307136.68
2029/09/01,9061.94,4471.71,4590.23,1302664.97
2029/10/01,9061.94,4487.41,4574.53,1298177.56
2029/11/01,9061.94,4503.18,4558.76,1293674.38
2029/12/01,9061.94,4518.98,4542.96,1289155.40
2030/01/01,9061.94,4534.86,4527.08,1284620.54
2030/02/01,9061.94,4550.78,4511.16,1280069.76
2030/03/01,9061.94,4566.76,4495.18,1275503.00
2030/04/01,9061.94,4582.80,4479.14,1270920.20
2030/05/01,9061.94,4598.89,4463.05,1266321.31
2030/06/01,9061.94,4615.04,4446.90,1261706.27
2030/07/01,9061.94,4631.25,4430.69,1257075.02
2030/08/01,9061.94,4647.51,4414.43,1252427.51
